Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1569978000,2019-10-02 01:00:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,13400,9524,90,0,
1569978300,2019-10-02 01:05:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,22100,9524,90,0,
1569978600,2019-10-02 01:10:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,30500,9524,90,0,
1569978900,2019-10-02 01:15:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,39100,9524,90,0,
1569979200,2019-10-02 01:20:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,47800,9524,90,0,
1569979500,2019-10-02 01:25:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,3100,9521,90,0,
1569979800,2019-10-02 01:30:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,12300,9521,90,0,
1569980100,2019-10-02 01:35:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,21200,9521,90,0,
1569980400,2019-10-02 01:40:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,30000,9521,90,0,
1569980700,2019-10-02 01:45:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,38600,9521,90,0,
1569981000,2019-10-02 01:50:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,47100,9521,90,0,
1569981300,2019-10-02 01:55:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,1700,9523,90,0,
