Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570323600,2019-10-06 01:00:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,32800,9512,90,0,
1570323900,2019-10-06 01:05:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,42400,9512,90,0,
1570324200,2019-10-06 01:10:00.000,57.991719N 10.547463E 129m,GNSS locked,7,Time OK,Coarse lock,1300,9367,90,1250,
1570324500,2019-10-06 01:15:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,7500,9513,90,0,
1570324800,2019-10-06 01:20:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,15900,9513,90,0,
1570325100,2019-10-06 01:25:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,24600,9513,90,0,
1570325400,2019-10-06 01:30:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,34100,9513,90,0,
1570325700,2019-10-06 01:35:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,44200,9513,90,0,
1570326000,2019-10-06 01:40:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,400,9513,90,0,
1570326300,2019-10-06 01:45:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,9000,9513,90,0,
1570326600,2019-10-06 01:50:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,17500,9513,90,0,
1570326900,2019-10-06 01:55:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,26300,9513,90,0,
