Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570280400,2019-10-05 13:00:00.000,-643217,,,,,,
1570280700,2019-10-05 13:05:00.000,-643217,,,,,,
1570281000,2019-10-05 13:10:00.000,-643217,,,,,,
1570281300,2019-10-05 13:15:00.000,-633494,,,,,,
1570281600,2019-10-05 13:20:00.000,-633494,,,,,,
1570281900,2019-10-05 13:25:00.000,-633494,,,,,,
1570282200,2019-10-05 13:30:00.000,-633494,,,,,,
1570282500,2019-10-05 13:35:00.000,-643217,,,,,,
1570282800,2019-10-05 13:40:00.000,-643217,,,,,,
1570283100,2019-10-05 13:45:00.000,-633494,,,,,,
1570283400,2019-10-05 13:50:00.000,-643217,,,,,,
1570283700,2019-10-05 13:55:00.000,-643217,,,,,,
