Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570273200,2019-10-05 11:00:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,3900,9500,90,0,
1570273500,2019-10-05 11:05:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,15500,9500,90,0,
1570273800,2019-10-05 11:10:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,29600,9500,90,0,
1570274100,2019-10-05 11:15:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,45400,9500,90,0,
1570274400,2019-10-05 11:20:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,3200,9498,90,0,
1570274700,2019-10-05 11:25:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,12200,9498,90,0,
1570275000,2019-10-05 11:30:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,21800,9498,90,0,
1570275300,2019-10-05 11:35:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,32400,9498,90,0,
1570275600,2019-10-05 11:40:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,43500,9498,90,0,
1570275900,2019-10-05 11:45:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,400,9497,90,0,
1570276200,2019-10-05 11:50:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,9300,9497,90,0,
1570276500,2019-10-05 11:55:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,18000,9497,90,0,
