Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570352400,2019-10-06 09:00:00.000,-633494,,,,,,
1570352700,2019-10-06 09:05:00.000,-633494,,,,,,
1570353000,2019-10-06 09:10:00.000,-623770,,,,,,
1570353300,2019-10-06 09:15:00.000,-633494,,,,,,
1570353600,2019-10-06 09:20:00.000,-633494,,,,,,
1570353900,2019-10-06 09:25:00.000,-633494,,,,,,
1570354200,2019-10-06 09:30:00.000,-633494,,,,,,
1570354500,2019-10-06 09:35:00.000,-643217,,,,,,
1570354800,2019-10-06 09:40:00.000,-633494,,,,,,
1570355100,2019-10-06 09:45:00.000,-633494,,,,,,
1570355400,2019-10-06 09:50:00.000,-633494,,,,,,
1570355700,2019-10-06 09:55:00.000,-633494,,,,,,
