Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570431600,2019-10-07 07:00:00.000,-623770,,,,,,
1570431900,2019-10-07 07:05:00.000,-623770,,,,,,
1570432200,2019-10-07 07:10:00.000,-633494,,,,,,
1570432500,2019-10-07 07:15:00.000,-623770,,,,,,
1570432800,2019-10-07 07:20:00.000,-633494,,,,,,
1570433100,2019-10-07 07:25:00.000,-633494,,,,,,
1570433400,2019-10-07 07:30:00.000,-633494,,,,,,
1570433700,2019-10-07 07:35:00.000,-633494,,,,,,
1570434000,2019-10-07 07:40:00.000,-623770,,,,,,
1570434300,2019-10-07 07:45:00.000,-633494,,,,,,
1570434600,2019-10-07 07:50:00.000,-633494,,,,,,
1570434900,2019-10-07 07:55:00.000,-633494,,,,,,
