Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569913200,2019-10-01 07:00:00.000,-643217,,,,,,
1569913500,2019-10-01 07:05:00.000,-643217,,,,,,
1569913800,2019-10-01 07:10:00.000,-643217,,,,,,
1569914100,2019-10-01 07:15:00.000,-633494,,,,,,
1569914400,2019-10-01 07:20:00.000,-643217,,,,,,
1569914700,2019-10-01 07:25:00.000,-643217,,,,,,
1569915000,2019-10-01 07:30:00.000,-643217,,,,,,
1569915300,2019-10-01 07:35:00.000,-643217,,,,,,
1569915600,2019-10-01 07:40:00.000,-643217,,,,,,
1569915900,2019-10-01 07:45:00.000,-643217,,,,,,
1569916200,2019-10-01 07:50:00.000,-643217,,,,,,
1569916500,2019-10-01 07:55:00.000,-643217,,,,,,
