Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570053600,2019-10-02 22:00:00.000,-623770,,,,,,
1570053900,2019-10-02 22:05:00.000,-633494,,,,,,
1570054200,2019-10-02 22:10:00.000,-633494,,,,,,
1570054500,2019-10-02 22:15:00.000,-633494,,,,,,
1570054800,2019-10-02 22:20:00.000,-633494,,,,,,
1570055100,2019-10-02 22:25:00.000,-633494,,,,,,
1570055400,2019-10-02 22:30:00.000,-633494,,,,,,
1570055700,2019-10-02 22:35:00.000,-643217,,,,,,
1570056000,2019-10-02 22:40:00.000,-633494,,,,,,
1570056300,2019-10-02 22:45:00.000,-633494,,,,,,
1570056600,2019-10-02 22:50:00.000,-633494,,,,,,
1570056900,2019-10-02 22:55:00.000,-623770,,,,,,
