Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570017600,2019-10-02 12:00:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,29200,9507,90,0,
1570017900,2019-10-02 12:05:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,38100,9507,90,0,
1570018200,2019-10-02 12:10:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,47500,9507,90,0,
1570018500,2019-10-02 12:15:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,3400,9509,90,0,
1570018800,2019-10-02 12:20:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,12400,9509,90,0,
1570019100,2019-10-02 12:25:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,22000,9509,90,0,
1570019400,2019-10-02 12:30:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,32200,9509,90,0,
1570019700,2019-10-02 12:35:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,43500,9509,90,0,
1570020000,2019-10-02 12:40:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,400,9510,90,0,
1570020300,2019-10-02 12:45:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,9000,9510,90,0,
1570020600,2019-10-02 12:50:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,17600,9510,90,0,
1570020900,2019-10-02 12:55:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,26600,9510,90,0,
