Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570237200,2019-10-05 01:00:00.000,-633494,,,,,,
1570237500,2019-10-05 01:05:00.000,-633494,,,,,,
1570237800,2019-10-05 01:10:00.000,-643217,,,,,,
1570238100,2019-10-05 01:15:00.000,-643217,,,,,,
1570238400,2019-10-05 01:20:00.000,-633494,,,,,,
1570238700,2019-10-05 01:25:00.000,-643217,,,,,,
1570239000,2019-10-05 01:30:00.000,-633494,,,,,,
1570239300,2019-10-05 01:35:00.000,-623770,,,,,,
1570239600,2019-10-05 01:40:00.000,-633494,,,,,,
1570239900,2019-10-05 01:45:00.000,-633494,,,,,,
1570240200,2019-10-05 01:50:00.000,-633494,,,,,,
1570240500,2019-10-05 01:55:00.000,-633494,,,,,,
