Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570640400,2019-10-09 17:00:00.000,-633494,,,,,,
1570640700,2019-10-09 17:05:00.000,-633494,,,,,,
1570641000,2019-10-09 17:10:00.000,-643217,,,,,,
1570641300,2019-10-09 17:15:00.000,-633494,,,,,,
1570641600,2019-10-09 17:20:00.000,-633494,,,,,,
1570641900,2019-10-09 17:25:00.000,-633494,,,,,,
1570642200,2019-10-09 17:30:00.000,-633494,,,,,,
1570642500,2019-10-09 17:35:00.000,-633494,,,,,,
1570642800,2019-10-09 17:40:00.000,-633494,,,,,,
1570643100,2019-10-09 17:45:00.000,-633494,,,,,,
1570643400,2019-10-09 17:50:00.000,-633494,,,,,,
1570643700,2019-10-09 17:55:00.000,-633494,,,,,,
