Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570298400,2019-10-05 18:00:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,31400,9504,90,0,
1570298700,2019-10-05 18:05:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,39900,9504,90,0,
1570299000,2019-10-05 18:10:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,48800,9504,90,0,
1570299300,2019-10-05 18:15:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,1100,9518,90,0,
1570299600,2019-10-05 18:20:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,10000,9518,90,0,
1570299900,2019-10-05 18:25:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,18700,9518,90,0,
1570300200,2019-10-05 18:30:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,27400,9518,90,0,
1570300500,2019-10-05 18:35:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,36800,9518,90,0,
1570300800,2019-10-05 18:40:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,46600,9518,90,0,
1570301100,2019-10-05 18:45:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,2100,9505,90,0,
1570301400,2019-10-05 18:50:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,11100,9505,90,0,
1570301700,2019-10-05 18:55:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,19800,9505,90,0,
