Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570014000,2019-10-02 11:00:00.000,-643217,,,,,,
1570014300,2019-10-02 11:05:00.000,-643217,,,,,,
1570014600,2019-10-02 11:10:00.000,-643217,,,,,,
1570014900,2019-10-02 11:15:00.000,-643217,,,,,,
1570015200,2019-10-02 11:20:00.000,-643217,,,,,,
1570015500,2019-10-02 11:25:00.000,-633494,,,,,,
1570015800,2019-10-02 11:30:00.000,-643217,,,,,,
1570016100,2019-10-02 11:35:00.000,-643217,,,,,,
1570016400,2019-10-02 11:40:00.000,-643217,,,,,,
1570016700,2019-10-02 11:45:00.000,-643217,,,,,,
1570017000,2019-10-02 11:50:00.000,-643217,,,,,,
1570017300,2019-10-02 11:55:00.000,-643217,,,,,,
