Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1569934800,2019-10-01 13:00:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,37100,9506,90,0,
1569935100,2019-10-01 13:05:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,45800,9506,90,0,
1569935400,2019-10-01 13:10:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,1300,9506,90,0,
1569935700,2019-10-01 13:15:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,10200,9506,90,0,
1569936000,2019-10-01 13:20:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,19300,9506,90,0,
1569936300,2019-10-01 13:25:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,28900,9506,90,0,
1569936600,2019-10-01 13:30:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,38600,9506,90,0,
1569936900,2019-10-01 13:35:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,48400,9506,90,0,
1569937200,2019-10-01 13:40:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,3500,9505,90,0,
1569937500,2019-10-01 13:45:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,12200,9505,90,0,
1569937800,2019-10-01 13:50:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,21200,9505,90,0,
1569938100,2019-10-01 13:55:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,30200,9505,90,0,
