Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570078800,2019-10-03 05:00:00.000,-623770,,,,,,
1570079100,2019-10-03 05:05:00.000,-623770,,,,,,
1570079400,2019-10-03 05:10:00.000,-623770,,,,,,
1570079700,2019-10-03 05:15:00.000,-623770,,,,,,
1570080000,2019-10-03 05:20:00.000,-614047,,,,,,
1570080300,2019-10-03 05:25:00.000,-623770,,,,,,
1570080600,2019-10-03 05:30:00.000,-623770,,,,,,
1570080900,2019-10-03 05:35:00.000,-623770,,,,,,
1570081200,2019-10-03 05:40:00.000,-623770,,,,,,
1570081500,2019-10-03 05:45:00.000,-623770,,,,,,
1570081800,2019-10-03 05:50:00.000,-614047,,,,,,
1570082100,2019-10-03 05:55:00.000,-623770,,,,,,
