Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570582800,2019-10-09 01:00:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,16100,9521,90,0,
1570583100,2019-10-09 01:05:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,24500,9521,90,0,
1570583400,2019-10-09 01:10:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,33100,9521,90,0,
1570583700,2019-10-09 01:15:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,42300,9521,90,0,
1570584000,2019-10-09 01:20:00.000,57.992187N 10.547246E 162m,GNSS locked,5,Time OK,Coarse lock,6300,9097,90,6250,
1570584300,2019-10-09 01:25:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,5800,9520,90,0,
1570584600,2019-10-09 01:30:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,14400,9520,90,0,
1570584900,2019-10-09 01:35:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,23100,9520,90,0,
1570585200,2019-10-09 01:40:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,32400,9520,90,0,
1570585500,2019-10-09 01:45:00.000,57.992187N 10.547246E 162m,Off,8,Time OK,Free running,42100,9520,90,0,
1570585800,2019-10-09 01:50:00.000,57.992187N 10.547246E 162m,GNSS locked,4,Time OK,Coarse lock,5800,9455,90,5729,
1570586100,2019-10-09 01:55:00.000,57.992187N 10.547246E 162m,Off,7,Time OK,Free running,6700,9522,90,0,
